Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4089  114.401    0.028  114.401    0.028 {built-in method posix.read}
     2124    0.148    0.000    0.148    0.000 {built-in method posix.stat}
        4    0.098    0.025    0.098    0.025 {built-in method posix.waitpid}
        2    0.075    0.037    0.075    0.037 {built-in method posix.fork}
      437    0.063    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.042    0.042    0.042    0.042 {method 'read' of '_io.TextIOWrapper' objects}
      437    0.037    0.000    0.037    0.000 {built-in method marshal.loads}
      670    0.032    0.000    0.032    0.000 {built-in method builtins.compile}
     2044    0.030    0.000    0.030    0.000 {built-in method _pickle.loads}
        1    0.029    0.029    0.029    0.029 {built-in method _posixsubprocess.fork_exec}
      112    0.022    0.000    0.022    0.000 {built-in method posix.listdir}
    32/30    0.022    0.001    0.031    0.001 {built-in method _imp.create_dynamic}
     4088    0.018    0.000  114.414    0.028 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
       18    0.017    0.001    0.018    0.001 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
     2044    0.015    0.000  114.501    0.056 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
  728/720    0.015    0.000    0.060    0.000 {built-in method builtins.__build_class__}
  585/126    0.010    0.000    0.031    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
      437    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
     2044    0.010    0.000  114.427    0.056 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
   1131/1    0.010    0.000  115.482  115.482 {built-in method builtins.exec}
      887    0.009    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     2044    0.007    0.000    0.007    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
     1001    0.007    0.000  114.504    0.114 tsp/state.py:23(update_fittest)
      669    0.007    0.000    0.048    0.000 /usr/lib/python3.6/site-packages/decorator.py:156(make)
 1116/116    0.006    0.000    0.028    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
     2044    0.006    0.000  114.436    0.056 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
    11114    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
    14665    0.005    0.000    0.005    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
     4101    0.005    0.000    0.014    0.000 /usr/lib/python3.6/enum.py:801(__and__)
      669    0.005    0.000    0.023    0.000 /usr/lib/python3.6/site-packages/decorator.py:87(__init__)
25367/25366    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     1776    0.005    0.000    0.014    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:131(_legacy_cmpkey)
        1    0.005    0.005    0.005    0.005 {built-in method posix.uname}
     2044    0.005    0.000    0.005    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
7514/7509    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    13073    0.004    0.000    0.009    0.000 /usr/lib/python3.6/sre_parse.py:253(get)
     8790    0.004    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:515(__new__)
    512/5    0.004    0.000    0.776    0.155 <frozen importlib._bootstrap>:966(_find_and_load)
     4795    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     2044    0.004    0.000    0.004    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
     6214    0.004    0.000    0.007    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:114(_parse_version_parts)
     8797    0.004    0.000    0.011    0.000 /usr/lib/python3.6/enum.py:265(__call__)
     4795    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      403    0.004    0.000    0.006    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
        1    0.004    0.004  114.707  114.707 tsp/controller.py:6(run)
      437    0.004    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      496    0.004    0.000    0.166    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      669    0.004    0.000    0.078    0.000 /usr/lib/python3.6/site-packages/decorator.py:190(create)
      437    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
17086/16529    0.004    0.000    0.004    0.000 {built-in method builtins.len}
      335    0.004    0.000    0.009    0.000 /usr/lib/python3.6/inspect.py:2095(_signature_from_function)
      963    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
7799/7795    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
       22    0.003    0.000    0.003    0.000 {built-in method posix.lstat}
      963    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     2547    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      335    0.003    0.000    0.015    0.000 /usr/lib/python3.6/inspect.py:1082(getfullargspec)
       50    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     2044    0.003    0.000    0.003    0.000 {built-in method _struct.unpack}
